project_name,x,y,lat_adj,lon_adj
CAVAN SUITES,31100.784709354848,32585.4435820421,1.31096553875798,103.8611806451505
THE CLEARWATER,39222.2665405355,35511.723913213486,1.3374278548508522,103.93415714929688
SHERWOOD CONDOMINIUM,20733.74638320275,36354.923020849,1.3450546529030651,103.76802685625651
AALTO,35124.37538843578,31199.028220657725,1.2984266272729048,103.89733424603949
FERRARIA PARK CONDOMINIUM,42527.3199053892,37746.39977176951,1.3576360077747398,103.96385599951682
SKY VUE,29952.49292574047,37183.05342592733,1.3525447854320698,103.85086297647968
TROPICAL SPRING,41587.64358599171,35942.06157097684,1.3413186958421437,103.95541159623176
368 THOMSON,28964.00914965105,34367.54117864555,1.327082340334015,103.841980728431
SAVANNAH CONDOPARK,42350.281548479776,36818.74976980574,1.3492467785489548,103.96226475432911
MONARCHY APARTMENTS,29871.1853274703,34114.33042602055,1.3247923497931748,103.850132186852
WATERSCAPE AT CAVENAGH,28832.8006221582,31849.932830049896,1.304313983471485,103.84080168035575
THE TRE VER,31520.774464620372,35464.85193441679,1.337005840286761,103.8649547878586
STARVILLE,36734.458802675836,34480.798005878634,1.3281053566937233,103.91180247565218
WATERFRONT ISLE,38511.179831751004,35602.40805233489,1.3382482246941467,103.92776766038634
HEDGES PARK CONDOMINIUM,42913.80644717589,37459.44187295846,1.355040678681823,103.96732868349059
THE GARDEN RESIDENCES,32127.331886754113,38655.719586569016,1.3658628293981943,103.87040549641272
THE GRANGE,27801.610466749804,33456.09441836104,1.318839519476464,103.831536108834
THE PANORAMA,28147.840244380997,39738.882575113086,1.3756588559095664,103.83464703060875
DUBLIN ROAD FLATS,28773.22623148844,31180.656043369112,1.2982612814349541,103.8402663602144
BALLOTA PARK CONDOMINIUM,43057.293690513405,37791.23088812745,1.3580411798598913,103.96861817257323
JADESCAPE,28641.81713244462,37151.08453622792,1.3522557269736946,103.83908571574801
AFFINITY AT SERANGOON,32537.127601735854,38641.89995077067,1.365737789594065,103.87408779026768
GLENDALE PARK,20471.468210338302,38344.29273810487,1.3630457272715149,103.76566962906634
ECO,40469.29271026227,33988.35751738921,1.3236506063313649,103.94536176716831
HILLVIEW REGENCY,19636.656591784835,37126.80831848956,1.35203501741686,103.75816862623799
ASTOR GREEN,21692.6277761038,33352.73646228667,1.3179041713238224,103.77664360785025
BOTANNIA,19161.042549642174,33405.25028655399,1.318378461764392,103.7538960149885
THE LEVELZ,24842.499106672098,32872.3788615884,1.3135604737656,103.804946861331
SOUTHAVEN I,21303.519045739733,36623.102759419,1.3474801062670565,103.77314654984633
RIVERFRONT RESIDENCES,35416.515281077285,39240.087054309806,1.3711469948941901,103.8999612083481
KENT RIDGE HILL RESIDENCES,23273.48003388662,29262.097094576988,1.280910163328747,103.7908489903986
ONE-NORTH RESIDENCES,23165.4378001125,31604.330322310332,1.3020924751521268,103.78987783002633
CYAN,27644.4892280763,33328.84110742866,1.317688717294477,103.83012413245467
THE CENTRIS,13740.01343768351,35743.80812851563,1.3395254542256647,103.7051842654744
THE NAUTICAL,27050.629077087167,47196.24991680557,1.443100584407313,103.82478754661133
THE LUXURIE,35011.67167026589,41230.947338602884,1.389151710900404,103.8963238777355
WING ON LIFE GARDEN,27810.6657000901,33318.78941271545,1.31759781480975,103.8316173133525
TREASURE AT TAMPINES,40777.999926050936,36342.78918245528,1.3449430809184322,103.9481366480757
MAYFAIR GARDENS,22262.63220311455,35622.73407791463,1.3384333297563134,103.78176496271315
SOUTHBANK,31448.1004797931,32070.488195347298,1.30630842761257,103.864301389677
THE CONTINUUM,34931.37614559382,32566.36932298076,1.3107924146701926,103.8956003671255
ONE BERNAM,29155.07885393265,28482.1502342606,1.2738569306013598,103.8436973770875
ONE PEARL BANK,28721.47158424835,29489.01770914535,1.2829626999513999,103.8398012830855
CAIRNHILL 16,28517.23756201475,32313.80407672745,1.3085090783959599,103.837966207101
THE RESERVE RESIDENCES,21790.73701257722,35801.294257589776,1.340048070481312,103.7775246723078
IRWELL HILL RESIDENCES,27783.365303001396,31042.88032366195,1.297015295086745,103.8313720212425
SCENECA RESIDENCE,40499.420270713694,34460.43042235696,1.3279198460655934,103.94563267125301
PICCADILLY GRAND,30123.3733501481,32606.353325687334,1.3111547218820734,103.85239812826099
