street,lat,lon
CAVAN ROAD,1.310851175,103.861430625
BEDOK RESERVOIR VIEW,1.3377533499999998,103.9349879375
JALAN JURONG KECHIL,1.3433311199999998,103.77054464
MEYER ROAD,1.29800063,103.88967514000001
FLORA DRIVE,1.35636855,103.96591555
BISHAN STREET 15,1.3523103,103.85090319999999
SIMEI STREET 4,1.3422777714285716,103.956628
THOMSON ROAD,1.32795444,103.84030881000001
SIMEI RISE,1.3487776,103.96091647143889
MANDALAY ROAD,1.3227409625000002,103.849763775
CAVENAGH ROAD,1.30683808,103.84312888
POTONG PASIR AVENUE 1,1.3335628285714285,103.86808775714285
LENGKONG TIGA,1.3257748714285713,103.91155697142858
BEDOK RESERVOIR ROAD,1.3368377900000001,103.92505270000001
SERANGOON NORTH VIEW,1.3665226,103.8703428
GRANGE GARDEN,1.3011336500000001,103.82382555000001
ANG MO KIO AVENUE 2,1.3734772666666668,103.83345356666666
DUBLIN ROAD,1.2982894666666667,103.83986169999999
MARIAM WAY,1.359915725,103.968509225
SHUNFU ROAD,1.351908775,103.8381508375
SERANGOON NORTH AVENUE 1,1.3688331333333332,103.87238015555556
HILLVIEW AVENUE,1.3562741,103.76188883333333
BEDOK SOUTH AVENUE 3,1.3223775666666666,103.94430415555556
BUKIT BATOK EAST AVENUE 2,1.3506341699999997,103.75840525000001
PINE GROVE,1.3180682142857145,103.77527752857142
WEST COAST PARK,1.31502046,103.75681895
FARRER ROAD,1.3157379150000001,103.80693556026888
HINDHEDE WALK,1.34657535,103.7742985
HOUGANG AVENUE 7,1.3660739400000002,103.89787722000001
SOUTH BUONA VISTA ROAD,1.2877783444444444,103.78611766666667
ONE-NORTH GATEWAY,1.3017281333333335,103.78902776666668
KENG CHIN ROAD,1.3177185,103.8305452
JURONG WEST CENTRAL 3,1.3408091142857141,103.70653697142858
JALAN SENDUDOK,1.4438505250000002,103.82570453003234
COMPASSVALE ROAD,1.3899125500000002,103.89728747000001
BUKIT TIMAH ROAD,1.33045852,103.79837954
RIFLE RANGE ROAD,1.34327521,103.78283507
NORTH BRIDGE ROAD,1.29328186,103.85200031
THIAM SIEW AVENUE,1.3108434333333332,103.89563120000001
BERNAM STREET,1.2735306666666666,103.84372483333334
PEARL BANK,1.2826843333333333,103.83967063333334
CAIRNHILL RISE,1.30751355,103.83903305000001
JALAN ANAK BUKIT,1.3418167300000001,103.77723018000002
TANAH MERAH KECHIL LINK,1.3284285666666669,103.94543013333333
NORTHUMBERLAND ROAD,1.3111056,103.8522438
LENTOR HILLS ROAD,1.3845101,103.83545745
LEEDON HEIGHTS,1.3138534,103.8043852
UPPER BUKIT TIMAH ROAD,1.3512339599999998,103.77120492000002
CHIN SWEE ROAD,1.2864746,103.83929311
LENTOR CENTRAL,1.3859957,103.8351817
CAIRNHILL ROAD,1.3074257857142857,103.83691040000001
PHENG GECK AVENUE,1.3313022833333334,103.86987985000002
DUNDEE ROAD,1.2945091999999998,103.8073684
FIRST STREET,1.3133147,103.9237493
MAKEWAY AVENUE,1.31247675,103.84215085
CANBERRA DRIVE,1.4434614000000001,103.8271392
MOULMEIN RISE,1.3193680799999998,103.84662548000001
FERNVALE ROAD,1.39340287,103.87567827000001
PANDAN VALLEY,1.319291007142857,103.77772443254916
OXLEY WALK,1.2973838333333332,103.84250120000002
FLORA ROAD,1.3600060666666665,103.9658457
GEYLANG EAST AVENUE 2,1.3177727000000001,103.88868335000001
JALAN LEMPENG,1.3187627666666666,103.76104861666666
HOUGANG AVENUE 2,1.36748768,103.88710069999999
KOVAN ROAD,1.3586444285714285,103.88143711428572
SHANGHAI ROAD,1.29520615,103.82762795
CORNWALL GARDENS,1.3148540499999999,103.800430825
BUKIT BATOK STREET 52,1.3543133125,103.75310211249999
CAMBRIDGE ROAD,1.315239,103.84873313333333
SIMS AVENUE,1.31613371,103.88860570000001
UPPER EAST COAST ROAD,1.3165573199999998,103.94440233999998
HACIENDA GROVE,1.3130523,103.9272912
RIVER VALLEY ROAD,1.29547737,103.83869894
